X1,X2,"f(X1, X2)",Type
"-4,00162374","2,681604426",-1,NARANJA
"-4,247696809","2,416812729",-1,NARANJA
"-3,822916156","3,004797267",-1,NARANJA
"-3,799973694","3,082426159",-1,NARANJA
"-3,924990306","3,118934221",-1,NARANJA
"-3,235020929","2,677075175",-1,NARANJA
"-3,729926966","3,516134414",-1,NARANJA
"-3,30829304","3,628940094",-1,NARANJA
"-2,886741808","3,562519634",-1,NARANJA
"-2,782192632","3,442550395",-1,NARANJA
"-2,75237709","3,73955424",-1,NARANJA
"-2,497626663","3,920741093",-1,NARANJA
"-2,323041664","3,703440397",-1,NARANJA
"-2,374726083","3,846949027",-1,NARANJA
"-2,456315114","3,684035356",-1,NARANJA
"-1,623005377","3,534006637",-1,NARANJA
"-1,136475832","3,645966581",-1,NARANJA
"-1,767109884","3,424017501",-1,NARANJA
"-1,314232165","3,305805864",-1,NARANJA
"-1,032946333","3,509989929",-1,NARANJA
"-1,205757093","3,044868909",-1,NARANJA
"-0,9939139451","3,346799475",-1,NARANJA
"-0,792019807","3,093230109",-1,NARANJA
"-0,9326356773","3,09262553",-1,NARANJA
"-0,3315020014","2,882140191",-1,NARANJA
"-0,3418245032","2,913327177",-1,NARANJA
"-0,6719633786","2,617426245",-1,NARANJA
"-0,4675628049","2,633968455",-1,NARANJA
"-0,3457311943","2,53216263",-1,NARANJA
"-0,1326693015","2,128179088",-1,NARANJA
"-0,3052292431","2,132537947",-1,NARANJA
"0,1419810591","2,235165194",-1,NARANJA
"-0,1431924829","1,846267304",-1,NARANJA
"-0,07132299023","1,944341616",-1,NARANJA
"-0,5366672788","1,582798374",-1,NARANJA
"0,1298803485","1,814360763",-1,NARANJA
"-0,03083882756","1,512238052",-1,NARANJA
"0,2446719773","1,555124467",-1,NARANJA
"-0,3772720937","1,771139422",-1,NARANJA
"-0,1366329088","1,382354044",-1,NARANJA
"-0,06442292518","1,160113873",-1,NARANJA
"0,09009330431","1,582389065",-1,NARANJA
